Sheet1$.F1,编号,企业名称,企业地址,企业类别,location,coordinates,X,Y
,631,德清县同鑫线缆有限公司,德清县新市镇南洋路38号,D,,,,
,632,德清县新市镇金超围巾包装场,浙江省湖州市德清县新市镇南洋路38号5幢、6幢,D,,,,
,633,德清县新市镇雪狼制线厂,浙江省德清县新市镇谷门村白安浜,D,,,,
,634,德清县建立工贸有限公司,浙江省湖州市德清县新市镇枫洋路263号,D,,,,
,636,德清县福杰皮件有限公司,新市镇新马路22号,D,,,,
,637,德清县知友化工有限公司,德清县新市镇徐家南路,D,,,,
,639,浙江正飞拉链有限公司,浙江省德清县禹越镇曙光路,D,,,,
,642,德清忻氏五金有限公司,浙江省湖州市德清县雷甸镇下高桥村北桥头组,D,,,,
,644,德清县新市镇荣森织造厂,浙江省湖州市德清县新市镇状元北路36号,D,,,,
,645,德清县新市镇林杰织造厂,德清县新市镇句城村村委旁,D,,,,
,651,德清县新市镇二龙织造厂,德清县新市镇蔡界村二龙桥东堍,D,,,,
,652,德清县新市镇韶村村股份经济合作社,德清县新市镇韶村村,D,,,,
,654,德清县锦宙包装材料厂,新市镇厚皋村,D,,,,
,655,德清欣源丝绸有限公司（曾用名：德清县丝之源丝绸工艺有限公司）,浙江省新市镇工业园区雁鱼塘桥东堍,D,,,,
,660,德清华烨纺织品有限公司,浙江省湖州市德清县禹越镇振兴西路668号,D,,,,
,662,德清县海一建塑料有限公司,浙江省湖州市德清县新市镇城东路11号,D,,,,
,663,浙江省建材集团有限公司固碳混凝土分公司（曾用名：浙江省建材集团有限公司地铁管片分公司）,浙江省湖州市德清县雷甸镇白云南路102号,D,,,,
,666,浙江杭洁洗涤有限公司,德清县钟管镇三墩村环城东路12号,D,,,,
,669,湖州万家利丝业有限公司,浙江省德清县新市镇士林南街1号,D,,,,
,677,浙江冠群丝绸服装有限公司（曾用名：德清县冠群丝绸服装有限公司）,浙江省禹越镇工业园区,D,,,,
,678,湖州润通纺织品有限公司,浙江省湖州市德清县禹越镇西港村兜门坝183号,D,,,,
,682,湖州和通高新建材技术有限公司,浙江省德清县新安镇勾里村红丰工业区裕安南路19号,D,,,,
,684,湖州汉鸿纺织科技有限公司,浙江省湖州市德清县新市镇钱江路393号,D,,,,
,685,浙江喆呈新材料有限公司,浙江省湖州市德清县雷甸镇武林路13号5号楼1楼,D,,,,
,687,德清西湖台钻有限公司,德清县新安镇裕华路518号,D,,,,
,688,浙江泰铭玻璃科技有限公司,浙江省德清县禹越镇西港村兜门坝128号,D,,,,
,691,湖州超盈纺织有限责任公司,浙江省湖州市德清县新市镇蔡界村,D,,,,
,692,德清欣正新材料科技有限公司,浙江省湖州市德清县新市镇工业园区,D,,,,
